i	113,106,0.007060572277964,0.005934224391326
iain	1,0,0.000123869689087,0.000055460041040
ica	0,1,0.000061934844544,0.000110920082081
iccenergy	1,0,0.000123869689087,0.000055460041040
icet	0,1,0.000061934844544,0.000110920082081
icon	0,1,0.000061934844544,0.000110920082081
id	10,3,0.000681283289979,0.000221840164162
idea	1,3,0.000123869689087,0.000221840164162
ideas	3,3,0.000247739378174,0.000221840164162
identified	0,1,0.000061934844544,0.000110920082081
identifies	0,1,0.000061934844544,0.000110920082081
identify	2,0,0.000185804533631,0.000055460041040
idiot	0,1,0.000061934844544,0.000110920082081
idirect	0,1,0.000061934844544,0.000110920082081
ids	1,0,0.000123869689087,0.000055460041040
ien	0,1,0.000061934844544,0.000110920082081
if	32,55,0.002043849869937,0.003105762298264
igh	0,1,0.000061934844544,0.000110920082081
ihf	0,1,0.000061934844544,0.000110920082081
ii	3,0,0.000247739378174,0.000055460041040
illness	0,1,0.000061934844544,0.000110920082081
illustrate	0,2,0.000061934844544,0.000166380123121
illustration	0,1,0.000061934844544,0.000110920082081
illustrator	0,2,0.000061934844544,0.000166380123121
ilydiatt	1,0,0.000123869689087,0.000055460041040
image	0,9,0.000061934844544,0.000554600410404
imagine	0,1,0.000061934844544,0.000110920082081
imitate	0,1,0.000061934844544,0.000110920082081
immediate	0,2,0.000061934844544,0.000166380123121
immediately	3,16,0.000247739378174,0.000942820697687
impact	3,0,0.000247739378174,0.000055460041040
impacted	1,0,0.000123869689087,0.000055460041040
imperial	2,0,0.000185804533631,0.000055460041040
implement	1,0,0.000123869689087,0.000055460041040
implementation	9,0,0.000619348445435,0.000055460041040
implementing	1,0,0.000123869689087,0.000055460041040
important	4,5,0.000309674222718,0.000332760246243
importantly	1,0,0.000123869689087,0.000055460041040
impossible	0,1,0.000061934844544,0.000110920082081
impresses	0,1,0.000061934844544,0.000110920082081
impression	0,1,0.000061934844544,0.000110920082081
impressive	0,1,0.000061934844544,0.000110920082081
improve	0,1,0.000061934844544,0.000110920082081
improved	2,3,0.000185804533631,0.000221840164162
improving	0,1,0.000061934844544,0.000110920082081
impulse	0,1,0.000061934844544,0.000110920082081
in	160,157,0.009971509971510,0.008762686484388
iname	0,1,0.000061934844544,0.000110920082081
inappropriate	0,1,0.000061934844544,0.000110920082081
inbox	0,1,0.000061934844544,0.000110920082081
inc	9,1,0.000619348445435,0.000110920082081
incessantly	0,1,0.000061934844544,0.000110920082081
include	3,9,0.000247739378174,0.000554600410404
included	1,5,0.000123869689087,0.000332760246243
including	12,3,0.000805152979066,0.000221840164162
inclusive	0,1,0.000061934844544,0.000110920082081
income	0,2,0.000061934844544,0.000166380123121
incomeunlimited	0,1,0.000061934844544,0.000110920082081
incorporated	1,0,0.000123869689087,0.000055460041040
incorrectly	1,0,0.000123869689087,0.000055460041040
increase	3,4,0.000247739378174,0.000277300205202
increased	0,5,0.000061934844544,0.000332760246243
increases	2,0,0.000185804533631,0.000055460041040
increasing	2,0,0.000185804533631,0.000055460041040
increasingly	1,0,0.000123869689087,0.000055460041040
incredibily	0,1,0.000061934844544,0.000110920082081
incurred	0,2,0.000061934844544,0.000166380123121
india	1,0,0.000123869689087,0.000055460041040
indicated	1,0,0.000123869689087,0.000055460041040
indication	1,0,0.000123869689087,0.000055460041040
indicator	0,1,0.000061934844544,0.000110920082081
indices	1,0,0.000123869689087,0.000055460041040
individual	2,2,0.000185804533631,0.000166380123121
individualized	2,0,0.000185804533631,0.000055460041040
individuals	4,0,0.000309674222718,0.000055460041040
industries	0,1,0.000061934844544,0.000110920082081
industry	1,5,0.000123869689087,0.000332760246243
inferior	0,1,0.000061934844544,0.000110920082081
influence	1,1,0.000123869689087,0.000110920082081
info	3,5,0.000247739378174,0.000332760246243
inform	1,0,0.000123869689087,0.000055460041040
information	20,35,0.001300631735414,0.001996561477455
informative	0,1,0.000061934844544,0.000110920082081
informed	2,2,0.000185804533631,0.000166380123121
infrastructure	0,1,0.000061934844544,0.000110920082081
initial	4,0,0.000309674222718,0.000055460041040
initializes	0,1,0.000061934844544,0.000110920082081
initially	2,0,0.000185804533631,0.000055460041040
initiative	2,0,0.000185804533631,0.000055460041040
inject	0,1,0.000061934844544,0.000110920082081
inlcuding	1,0,0.000123869689087,0.000055460041040
inlet	4,0,0.000309674222718,0.000055460041040
innovation	4,0,0.000309674222718,0.000055460041040
innovative	2,0,0.000185804533631,0.000055460041040
innovatus	1,0,0.000123869689087,0.000055460041040
input	5,1,0.000371609067261,0.000110920082081
inputs	1,0,0.000123869689087,0.000055460041040
insane	0,1,0.000061934844544,0.000110920082081
inseminate	0,1,0.000061934844544,0.000110920082081
inside	0,2,0.000061934844544,0.000166380123121
insider	0,1,0.000061934844544,0.000110920082081
insomnia	0,1,0.000061934844544,0.000110920082081
inspection	0,1,0.000061934844544,0.000110920082081
instantly	0,2,0.000061934844544,0.000166380123121
instead	0,3,0.000061934844544,0.000221840164162
institutions	0,1,0.000061934844544,0.000110920082081
instruct	0,1,0.000061934844544,0.000110920082081
instructed	0,2,0.000061934844544,0.000166380123121
instructions	0,2,0.000061934844544,0.000166380123121
instructs	0,1,0.000061934844544,0.000110920082081
instrument	0,1,0.000061934844544,0.000110920082081
instruments	0,1,0.000061934844544,0.000110920082081
insufficient	0,1,0.000061934844544,0.000110920082081
insults	0,1,0.000061934844544,0.000110920082081
insurance	0,5,0.000061934844544,0.000332760246243
insure	5,0,0.000371609067261,0.000055460041040
integrated	1,1,0.000123869689087,0.000110920082081
intelligence	0,1,0.000061934844544,0.000110920082081
intelt	0,1,0.000061934844544,0.000110920082081
intend	2,0,0.000185804533631,0.000055460041040
intended	1,0,0.000123869689087,0.000055460041040
intends	1,0,0.000123869689087,0.000055460041040
intense	1,0,0.000123869689087,0.000055460041040
intercreditor	1,0,0.000123869689087,0.000055460041040
interest	2,7,0.000185804533631,0.000443680328323
interested	1,7,0.000123869689087,0.000443680328323
interesting	0,1,0.000061934844544,0.000110920082081
interests	0,5,0.000061934844544,0.000332760246243
interfering	0,1,0.000061934844544,0.000110920082081
internal	6,1,0.000433543911805,0.000110920082081
internally	2,0,0.000185804533631,0.000055460041040
international	1,2,0.000123869689087,0.000166380123121
interne	0,1,0.000061934844544,0.000110920082081
internet	0,12,0.000061934844544,0.000720980533526
interrupted	0,1,0.000061934844544,0.000110920082081
interstate	1,0,0.000123869689087,0.000055460041040
intervened	0,2,0.000061934844544,0.000166380123121
intl	2,0,0.000185804533631,0.000055460041040
into	10,21,0.000681283289979,0.001220120902889
intra	1,0,0.000123869689087,0.000055460041040
intranet	3,0,0.000247739378174,0.000055460041040
introduced	3,0,0.000247739378174,0.000055460041040
introducing	0,1,0.000061934844544,0.000110920082081
invest	0,2,0.000061934844544,0.000166380123121
investment	4,6,0.000309674222718,0.000388220287283
investor	1,0,0.000123869689087,0.000055460041040
investors	0,1,0.000061934844544,0.000110920082081
invite	1,1,0.000123869689087,0.000110920082081
invoices	1,0,0.000123869689087,0.000055460041040
involuntary	3,0,0.000247739378174,0.000055460041040
involved	2,4,0.000185804533631,0.000277300205202
involving	2,0,0.000185804533631,0.000055460041040
invovled	2,0,0.000185804533631,0.000055460041040
ion	0,1,0.000061934844544,0.000110920082081
iowa	0,1,0.000061934844544,0.000110920082081
ipos	0,1,0.000061934844544,0.000110920082081
ipp	1,0,0.000123869689087,0.000055460041040
ipps	5,0,0.000371609067261,0.000055460041040
iron	0,1,0.000061934844544,0.000110920082081
is	86,86,0.005388331475288,0.004825023570517
isalso	0,1,0.000061934844544,0.000110920082081
island	2,0,0.000185804533631,0.000055460041040
isn	0,3,0.000061934844544,0.000221840164162
iso	0,8,0.000061934844544,0.000499140369364
isp	0,7,0.000061934844544,0.000443680328323
isps	0,2,0.000061934844544,0.000166380123121
issler	5,0,0.000371609067261,0.000055460041040
issue	4,13,0.000309674222718,0.000776440574566
issued	1,1,0.000123869689087,0.000110920082081
issues	18,1,0.001176762046327,0.000110920082081
it	30,119,0.001919980180850,0.006655204924852
iteam	0,1,0.000061934844544,0.000110920082081
item	0,3,0.000061934844544,0.000221840164162
items	2,10,0.000185804533631,0.000610060451445
its	8,15,0.000557413600892,0.000887360656647
itself	1,2,0.000123869689087,0.000166380123121
ium	0,1,0.000061934844544,0.000110920082081
ivan	0,1,0.000061934844544,0.000110920082081
ivernia	0,2,0.000061934844544,0.000166380123121
j	21,1,0.001362566579958,0.000110920082081
ja	1,0,0.000123869689087,0.000055460041040
jackie	1,0,0.000123869689087,0.000055460041040
jan	4,0,0.000309674222718,0.000055460041040
jana	0,3,0.000061934844544,0.000221840164162
jane	1,0,0.000123869689087,0.000055460041040
janet	1,0,0.000123869689087,0.000055460041040
janice	1,0,0.000123869689087,0.000055460041040
janie	1,0,0.000123869689087,0.000055460041040
january	2,0,0.000185804533631,0.000055460041040
japan	3,0,0.000247739378174,0.000055460041040
jason	5,0,0.000371609067261,0.000055460041040
jauregui	1,0,0.000123869689087,0.000055460041040
jeff	1,0,0.000123869689087,0.000055460041040
jersey	1,0,0.000123869689087,0.000055460041040
jim	1,2,0.000123869689087,0.000166380123121
jimmy	0,2,0.000061934844544,0.000166380123121
jirapliegao	0,1,0.000061934844544,0.000110920082081
jlopes	1,0,0.000123869689087,0.000055460041040
jm	0,4,0.000061934844544,0.000277300205202
jnexon	1,0,0.000123869689087,0.000055460041040
jo	0,1,0.000061934844544,0.000110920082081
joao	2,0,0.000185804533631,0.000055460041040
job	3,0,0.000247739378174,0.000055460041040
joe	1,0,0.000123869689087,0.000055460041040
joel	0,6,0.000061934844544,0.000388220287283
johannesburg	0,2,0.000061934844544,0.000166380123121
john	16,0,0.001052892357240,0.000055460041040
johnny	0,2,0.000061934844544,0.000166380123121
johnston	2,0,0.000185804533631,0.000055460041040
join	5,4,0.000371609067261,0.000277300205202
joinder	1,0,0.000123869689087,0.000055460041040
joined	2,0,0.000185804533631,0.000055460041040
joining	3,0,0.000247739378174,0.000055460041040
jon	1,0,0.000123869689087,0.000055460041040
jonathon	0,1,0.000061934844544,0.000110920082081
jones	3,0,0.000247739378174,0.000055460041040
jonesg	1,0,0.000123869689087,0.000055460041040
jose	1,0,0.000123869689087,0.000055460041040
joseph	5,2,0.000371609067261,0.000166380123121
josey	3,0,0.000247739378174,0.000055460041040
journeys	0,1,0.000061934844544,0.000110920082081
joyce	1,0,0.000123869689087,0.000055460041040
jpxdltmuk	0,1,0.000061934844544,0.000110920082081
jshorter	1,0,0.000123869689087,0.000055460041040
jsp	0,2,0.000061934844544,0.000166380123121
jturco	0,1,0.000061934844544,0.000110920082081
jubilar	0,1,0.000061934844544,0.000110920082081
judgments	0,1,0.000061934844544,0.000110920082081
julie	5,0,0.000371609067261,0.000055460041040
july	1,0,0.000123869689087,0.000055460041040
june	7,4,0.000495478756348,0.000277300205202
junk	0,2,0.000061934844544,0.000166380123121
just	7,28,0.000495478756348,0.001608341190172
justperform	0,1,0.000061934844544,0.000110920082081
jvbe	0,1,0.000061934844544,0.000110920082081
k	0,3,0.000061934844544,0.000221840164162
kainantu	0,2,0.000061934844544,0.000166380123121
kaminski	11,0,0.000743218134522,0.000055460041040
kaolin	0,1,0.000061934844544,0.000110920082081
katamail	0,1,0.000061934844544,0.000110920082081
kathryn	3,0,0.000247739378174,0.000055460041040
kay	2,0,0.000185804533631,0.000055460041040
kcs	1,0,0.000123869689087,0.000055460041040
keeley	5,0,0.000371609067261,0.000055460041040
keep	6,10,0.000433543911805,0.000610060451445
keeping	0,3,0.000061934844544,0.000221840164162
kelly	1,0,0.000123869689087,0.000055460041040
kenny	1,0,0.000123869689087,0.000055460041040
kept	0,2,0.000061934844544,0.000166380123121
kerb	0,1,0.000061934844544,0.000110920082081
kevin	47,0,0.002972872538090,0.000055460041040
key	7,0,0.000495478756348,0.000055460041040
keyboard	0,2,0.000061934844544,0.000166380123121
keys	1,0,0.000123869689087,0.000055460041040
keywordcount	0,1,0.000061934844544,0.000110920082081
kfbtyra	0,1,0.000061934844544,0.000110920082081
khanna	1,0,0.000123869689087,0.000055460041040
kick	1,0,0.000123869689087,0.000055460041040
kickoff	2,0,0.000185804533631,0.000055460041040
kid	0,1,0.000061934844544,0.000110920082081
killed	0,2,0.000061934844544,0.000166380123121
killer	0,1,0.000061934844544,0.000110920082081
killings	0,2,0.000061934844544,0.000166380123121
kim	3,0,0.000247739378174,0.000055460041040
kimberley	0,3,0.000061934844544,0.000221840164162
kimberly	4,0,0.000309674222718,0.000055460041040
kind	2,3,0.000185804533631,0.000221840164162
kinda	1,0,0.000123869689087,0.000055460041040
kindall	4,0,0.000309674222718,0.000055460041040
kindly	0,1,0.000061934844544,0.000110920082081
kinds	0,2,0.000061934844544,0.000166380123121
king	5,0,0.000371609067261,0.000055460041040
kish	1,0,0.000123869689087,0.000055460041040
kistler	1,0,0.000123869689087,0.000055460041040
kitchen	3,0,0.000247739378174,0.000055460041040
knelt	0,1,0.000061934844544,0.000110920082081
knew	1,2,0.000123869689087,0.000166380123121
knights	1,0,0.000123869689087,0.000055460041040
knives	0,1,0.000061934844544,0.000110920082081
know	19,18,0.001238696890871,0.001053740779768
knowledge	4,0,0.000309674222718,0.000055460041040
knowlton	1,0,0.000123869689087,0.000055460041040
known	0,2,0.000061934844544,0.000166380123121
knows	0,2,0.000061934844544,0.000166380123121
knudsen	1,0,0.000123869689087,0.000055460041040
kollaros	1,0,0.000123869689087,0.000055460041040
korea	0,1,0.000061934844544,0.000110920082081
koromah	0,2,0.000061934844544,0.000166380123121
krgp	2,0,0.000185804533631,0.000055460041040
kri	1,0,0.000123869689087,0.000055460041040
krill	1,0,0.000123869689087,0.000055460041040
krishna	1,0,0.000123869689087,0.000055460041040
krishnarao	5,0,0.000371609067261,0.000055460041040
kristin	2,0,0.000185804533631,0.000055460041040
kwh	1,0,0.000123869689087,0.000055460041040
kyle	1,0,0.000123869689087,0.000055460041040
l	9,1,0.000619348445435,0.000110920082081
label	2,0,0.000185804533631,0.000055460041040
labor	1,0,0.000123869689087,0.000055460041040
laborious	0,1,0.000061934844544,0.000110920082081
lacrecia	1,0,0.000123869689087,0.000055460041040
lagars	0,1,0.000061934844544,0.000110920082081
lagrasta	1,0,0.000123869689087,0.000055460041040
lamb	1,0,0.000123869689087,0.000055460041040
lamproite	0,2,0.000061934844544,0.000166380123121
lamps	0,1,0.000061934844544,0.000110920082081
land	0,1,0.000061934844544,0.000110920082081
language	0,3,0.000061934844544,0.000221840164162
lanterns	0,1,0.000061934844544,0.000110920082081
large	0,7,0.000061934844544,0.000443680328323
larger	2,0,0.000185804533631,0.000055460041040
largest	0,2,0.000061934844544,0.000166380123121
larry	1,0,0.000123869689087,0.000055460041040
last	9,5,0.000619348445435,0.000332760246243
lasts	0,1,0.000061934844544,0.000110920082081
late	3,2,0.000247739378174,0.000166380123121
later	6,3,0.000433543911805,0.000221840164162
latin	1,0,0.000123869689087,0.000055460041040
laughed	0,1,0.000061934844544,0.000110920082081
launch	0,2,0.000061934844544,0.000166380123121
lauri	4,0,0.000309674222718,0.000055460041040
lavorato	4,0,0.000309674222718,0.000055460041040
law	3,2,0.000247739378174,0.000166380123121
lawn	1,2,0.000123869689087,0.000166380123121
layout	0,3,0.000061934844544,0.000221840164162
layouts	0,1,0.000061934844544,0.000110920082081
lcd	0,1,0.000061934844544,0.000110920082081
lead	4,5,0.000309674222718,0.000332760246243
leaders	1,0,0.000123869689087,0.000055460041040
leadership	12,0,0.000805152979066,0.000055460041040
leads	0,5,0.000061934844544,0.000332760246243
leap	0,1,0.000061934844544,0.000110920082081
learn	3,1,0.000247739378174,0.000110920082081
learned	0,2,0.000061934844544,0.000166380123121
learning	2,1,0.000185804533631,0.000110920082081
learns	2,0,0.000185804533631,0.000055460041040
lease	0,1,0.000061934844544,0.000110920082081
least	3,7,0.000247739378174,0.000443680328323
leave	3,1,0.000247739378174,0.000110920082081
leaving	0,1,0.000061934844544,0.000110920082081
lee	1,0,0.000123869689087,0.000055460041040
leederville	0,1,0.000061934844544,0.000110920082081
left	4,0,0.000309674222718,0.000055460041040
legal	1,0,0.000123869689087,0.000055460041040
legislature	6,0,0.000433543911805,0.000055460041040
legs	0,1,0.000061934844544,0.000110920082081
lemelman	0,1,0.000061934844544,0.000110920082081
length	0,1,0.000061934844544,0.000110920082081
lengthen	0,1,0.000061934844544,0.000110920082081
leone	0,4,0.000061934844544,0.000277300205202
less	6,6,0.000433543911805,0.000388220287283
lesson	0,2,0.000061934844544,0.000166380123121
let	16,12,0.001052892357240,0.000720980533526
lets	0,1,0.000061934844544,0.000110920082081
letter	0,27,0.000061934844544,0.001552881149132
letters	0,11,0.000061934844544,0.000665520492485
level	2,2,0.000185804533631,0.000166380123121
levels	0,2,0.000061934844544,0.000166380123121
leverage	1,0,0.000123869689087,0.000055460041040
liar	0,2,0.000061934844544,0.000166380123121
licence	0,1,0.000061934844544,0.000110920082081
licensing	0,1,0.000061934844544,0.000110920082081
life	1,10,0.000123869689087,0.000610060451445
lift	1,0,0.000123869689087,0.000055460041040
lifted	0,1,0.000061934844544,0.000110920082081
lifts	0,1,0.000061934844544,0.000110920082081
like	14,34,0.000929022668153,0.001941101436415
liked	0,1,0.000061934844544,0.000110920082081
likely	7,0,0.000495478756348,0.000055460041040
likes	0,1,0.000061934844544,0.000110920082081
lilly	1,0,0.000123869689087,0.000055460041040
limitations	1,0,0.000123869689087,0.000055460041040
limited	4,8,0.000309674222718,0.000499140369364
lin	6,0,0.000433543911805,0.000055460041040
linda	5,0,0.000371609067261,0.000055460041040
lindiwe	0,2,0.000061934844544,0.000166380123121
line	5,12,0.000371609067261,0.000720980533526
lines	0,1,0.000061934844544,0.000110920082081
lingerie	0,1,0.000061934844544,0.000110920082081
link	1,5,0.000123869689087,0.000332760246243
linkpaks	0,4,0.000061934844544,0.000277300205202
links	0,22,0.000061934844544,0.001275580943930
linktocash	0,1,0.000061934844544,0.000110920082081
lips	0,1,0.000061934844544,0.000110920082081
liquid	0,1,0.000061934844544,0.000110920082081
liquids	1,0,0.000123869689087,0.000055460041040
lisa	1,1,0.000123869689087,0.000110920082081
list	3,14,0.000247739378174,0.000831900615606
listed	4,3,0.000309674222718,0.000221840164162
listen	1,0,0.000123869689087,0.000055460041040
listened	1,0,0.000123869689087,0.000055460041040
listinfo	0,2,0.000061934844544,0.000166380123121
lists	0,2,0.000061934844544,0.000166380123121
lit	0,1,0.000061934844544,0.000110920082081
literally	0,1,0.000061934844544,0.000110920082081
literature	1,0,0.000123869689087,0.000055460041040
litteneker	1,0,0.000123869689087,0.000055460041040
litterbug	0,1,0.000061934844544,0.000110920082081
little	1,7,0.000123869689087,0.000443680328323
live	1,0,0.000123869689087,0.000055460041040
living	0,3,0.000061934844544,0.000221840164162
liz	1,0,0.000123869689087,0.000055460041040
ll	1,16,0.000123869689087,0.000942820697687
llc	1,0,0.000123869689087,0.000055460041040
llittle	1,0,0.000123869689087,0.000055460041040
loads	0,1,0.000061934844544,0.000110920082081
lobby	1,0,0.000123869689087,0.000055460041040
local	5,1,0.000371609067261,0.000110920082081
locally	0,2,0.000061934844544,0.000166380123121
locals	0,1,0.000061934844544,0.000110920082081
located	3,1,0.000247739378174,0.000110920082081
location	8,0,0.000557413600892,0.000055460041040
lock	2,0,0.000185804533631,0.000055460041040
locomotive	0,1,0.000061934844544,0.000110920082081
loczk	0,1,0.000061934844544,0.000110920082081
loft	0,1,0.000061934844544,0.000110920082081
lollipops	0,1,0.000061934844544,0.000110920082081
london	3,1,0.000247739378174,0.000110920082081
long	5,8,0.000371609067261,0.000499140369364
longer	0,2,0.000061934844544,0.000166380123121
look	3,9,0.000247739378174,0.000554600410404
looking	0,4,0.000061934844544,0.000277300205202
looks	1,4,0.000123869689087,0.000277300205202
loosening	1,0,0.000123869689087,0.000055460041040
lose	0,2,0.000061934844544,0.000166380123121
losing	0,2,0.000061934844544,0.000166380123121
loss	0,1,0.000061934844544,0.000110920082081
lot	5,4,0.000371609067261,0.000277300205202
lots	1,1,0.000123869689087,0.000110920082081
louise	7,0,0.000495478756348,0.000055460041040
lounsbury	0,1,0.000061934844544,0.000110920082081
love	1,1,0.000123869689087,0.000110920082081
low	2,6,0.000185804533631,0.000388220287283
lower	0,1,0.000061934844544,0.000110920082081
lowest	0,1,0.000061934844544,0.000110920082081
loyal	0,2,0.000061934844544,0.000166380123121
lsc	0,1,0.000061934844544,0.000110920082081
lst	2,0,0.000185804533631,0.000055460041040
lu	5,0,0.000371609067261,0.000055460041040
luck	2,0,0.000185804533631,0.000055460041040
lucky	0,1,0.000061934844544,0.000110920082081
lunch	2,0,0.000185804533631,0.000055460041040
luo	0,1,0.000061934844544,0.000110920082081
luong	1,0,0.000123869689087,0.000055460041040
lx	1,0,0.000123869689087,0.000055460041040
lycopodium	0,1,0.000061934844544,0.000110920082081
lyn	7,0,0.000495478756348,0.000055460041040
lynch	1,0,0.000123869689087,0.000055460041040
lynda	1,0,0.000123869689087,0.000055460041040
m	10,14,0.000681283289979,0.000831900615606
ma	0,1,0.000061934844544,0.000110920082081
machine	0,1,0.000061934844544,0.000110920082081
mackey	1,0,0.000123869689087,0.000055460041040
macquarie	0,2,0.000061934844544,0.000166380123121
macromedia	0,6,0.000061934844544,0.000388220287283
made	6,5,0.000433543911805,0.000332760246243
magellan	0,1,0.000061934844544,0.000110920082081
magnesium	0,1,0.000061934844544,0.000110920082081
maidens	0,1,0.000061934844544,0.000110920082081
mail	9,17,0.000619348445435,0.000998280738728
mailing	0,3,0.000061934844544,0.000221840164162
mailman	0,2,0.000061934844544,0.000166380123121
mailto	0,5,0.000061934844544,0.000332760246243
main	0,1,0.000061934844544,0.000110920082081
maine	1,0,0.000123869689087,0.000055460041040
maintain	2,0,0.000185804533631,0.000055460041040
