i	113,106,0.009748943145544,0.007865835559513
iain	1,0,0.000086273833146,0.000000000000000
ica	0,1,0.000000000000000,0.000074205995844
iccenergy	1,0,0.000086273833146,0.000000000000000
icet	0,1,0.000000000000000,0.000074205995844
icon	0,1,0.000000000000000,0.000074205995844
id	10,3,0.000862738331464,0.000222617987533
idea	1,3,0.000086273833146,0.000222617987533
ideas	3,3,0.000258821499439,0.000222617987533
identified	0,1,0.000000000000000,0.000074205995844
identifies	0,1,0.000000000000000,0.000074205995844
identify	2,0,0.000172547666293,0.000000000000000
idiot	0,1,0.000000000000000,0.000074205995844
idirect	0,1,0.000000000000000,0.000074205995844
ids	1,0,0.000086273833146,0.000000000000000
ien	0,1,0.000000000000000,0.000074205995844
if	32,55,0.002760762660685,0.004081329771446
igh	0,1,0.000000000000000,0.000074205995844
ihf	0,1,0.000000000000000,0.000074205995844
ii	3,0,0.000258821499439,0.000000000000000
illness	0,1,0.000000000000000,0.000074205995844
illustrate	0,2,0.000000000000000,0.000148411991689
illustration	0,1,0.000000000000000,0.000074205995844
illustrator	0,2,0.000000000000000,0.000148411991689
ilydiatt	1,0,0.000086273833146,0.000000000000000
image	0,9,0.000000000000000,0.000667853962600
imagine	0,1,0.000000000000000,0.000074205995844
imitate	0,1,0.000000000000000,0.000074205995844
immediate	0,2,0.000000000000000,0.000148411991689
immediately	3,16,0.000258821499439,0.001187295933511
impact	3,0,0.000258821499439,0.000000000000000
impacted	1,0,0.000086273833146,0.000000000000000
imperial	2,0,0.000172547666293,0.000000000000000
implement	1,0,0.000086273833146,0.000000000000000
implementation	9,0,0.000776464498318,0.000000000000000
implementing	1,0,0.000086273833146,0.000000000000000
important	4,5,0.000345095332586,0.000371029979222
importantly	1,0,0.000086273833146,0.000000000000000
impossible	0,1,0.000000000000000,0.000074205995844
impresses	0,1,0.000000000000000,0.000074205995844
impression	0,1,0.000000000000000,0.000074205995844
impressive	0,1,0.000000000000000,0.000074205995844
improve	0,1,0.000000000000000,0.000074205995844
improved	2,3,0.000172547666293,0.000222617987533
improving	0,1,0.000000000000000,0.000074205995844
impulse	0,1,0.000000000000000,0.000074205995844
